woreda,woreda uid,zone,zone id,region,region id
Dawa chefa,ORG00000154,Oromiya ,ORG00000149,Amhara,ORG00000053
Dawe Harwa,ORG00000151,Oromiya ,ORG00000149,Amhara,ORG00000053
Dawe Kachen,ORG00000352,Bale  ,ORG00000340,Oromia,ORG00000311
Dawe sarar,ORG00000346,Bale  ,ORG00000340,Oromia,ORG00000311
Dawo,ORG00000564,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Dawunt,ORG00000140,N. Wello,ORG00000134,Amhara,ORG00000053
Debark,ORG00000086,N. Gonder,ORG00000085,Amhara,ORG00000053
Debark town,ORG00000089,N. Gonder,ORG00000085,Amhara,ORG00000053
Debay Tilatgen,ORG00000067,E. Gojam,ORG00000066,Amhara,ORG00000053
Debere Sina,ORG00000189,S. Wello,ORG00000170,Amhara,ORG00000053
Debirebirhan,ORG00000119,N. Shoa,ORG00000109,Amhara,ORG00000053
Debre Elias,ORG00000069,E. Gojam,ORG00000066,Amhara,ORG00000053
Debre Libanos,ORG00000548,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Debre Markos,ORG00000074,E. Gojam,ORG00000066,Amhara,ORG00000053
Debre Tabor,ORG00000160,S. Gonder,ORG00000157,Amhara,ORG00000053
Decha,ORG00000749,Kafa  ,ORG00000743,SNNPR,ORG00000668
Deddo,ORG00000527,Jimma  ,ORG00000508,Oromia,ORG00000311
Deder,ORG00000402,E. Harerge ,ORG00000388,Oromia,ORG00000311
Deder Town,ORG00000391,E. Harerge ,ORG00000388,Oromia,ORG00000311
Dega,ORG00000379,Buno Bedele,ORG00000377,Oromia,ORG00000311
Dega Damot,ORG00000206,West Gojam,ORG00000201,Amhara,ORG00000053
Degahabure,ORG00000863,Degehabur  ,ORG00000857,Somali,ORG00000843
Degahabure Town,ORG00000860,Degehabur  ,ORG00000857,Somali,ORG00000843
Degahmadow,ORG00000858,Degehabur  ,ORG00000857,Somali,ORG00000843
